id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.437019875429758	0.698374096047276	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	1.87805076261037	0.0594976502395788	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	0.803257454432293	0.520158435451327	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	3.22283619530911	5.96921740762449e-05	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	2.07972435110052	0.0522384433060861	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	1.22094483729432	0.182091128988488	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	1.56615384660261	0.328081083137011	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	-0.61232705491838	0.56358819748664	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	1.86795427523302	0.0722675343933902	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	-1.5770268373468	0.0492664295606088	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	-0.746059811777745	0.419986296584953	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	0.340367931317651	0.726214898791099	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.237454597805248	0.836789487666977	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-3.2058473651742	4.70309512958495e-05	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-3.51527999355447	3.2508961963059e-05	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-3.73115143956875	1.65846168344903e-06	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-3.3232918297832	4.27543606343135e-05	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	-4.71806215509774	3.17376961628672e-10	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
