"79714","amidase family protein, putative [Penicillium marneffei ATCC 18224] (model%: 99, hit%: 73, score: 1343, %id: 69)"
"79715","hypothetical protein MAA_10201 [Metarhizium anisopliae ARSEF 23] (model%: 97, hit%: 98, score: 1197, %id: 64)"
"79716","hypothetical protein NECHADRAFT_23989 [Nectria haematococca mpVI 77-13-4] (model%: 88, hit%: 99, score: 1560, %id: 65)"
"79717","hypothetical protein FOXB_02035 [Fusarium oxysporum Fo5176] (model%: 98, hit%: 99, score: 1488, %id: 61)"
"79718","amino acid transporter [Grosmannia clavigera kw1407] (model%: 97, hit%: 93, score: 2027, %id: 81)"
"79719","glucokinase [Grosmannia clavigera kw1407] (model%: 90, hit%: 97, score: 1222, %id: 47)"
"79720","glucosamine-6-phosphate isomerase [Grosmannia clavigera kw1407] (model%: 97, hit%: 90, score: 1199, %id: 73)"
"79721","choline transporter [Grosmannia clavigera kw1407] (model%: 94, hit%: 95, score: 2214, %id: 84)"
"79722","hypothetical protein CMQ_1808 [Grosmannia clavigera kw1407] (model%: 97, hit%: 91, score: 2172, %id: 73)"
"79723","hexose transporter [Grosmannia clavigera kw1407] (model%: 99, hit%: 99, score: 1612, %id: 60)"
"79724","sugar transporter [Verticillium dahliae VdLs.17] (model%: 37, hit%: 13, score: 259, %id: 69)"
"79725","hypothetical protein NECHADRAFT_54511 [Nectria haematococca mpVI 77-13-4] (model%: 98, hit%: 98, score: 2231, %id: 53)"
"79726",NA
"79727","hypothetical protein AND_16948 [Anopheles darlingi] (model%: 35, hit%: 73, score: 209, %id: 49)"
"79728","predicted protein [Verticillium albo-atrum VaMs.102] (model%: 38, hit%: 31, score: 289, %id: 40)"
"79729","conserved hypothetical protein [Verticillium albo-atrum VaMs.102] (model%: 97, hit%: 97, score: 623, %id: 49)"
"79730","threonine synthase [Grosmannia clavigera kw1407] (model%: 98, hit%: 96, score: 2228, %id: 78)"
"79731","hypothetical protein THITE_2124693 [Thielavia terrestris NRRL 8126] (model%: 90, hit%: 85, score: 2634, %id: 57)"
"79732","aspartic proteinase [Grosmannia clavigera kw1407] (model%: 87, hit%: 94, score: 1435, %id: 66)"
"79733","hypothetical protein MGG_06646 [Magnaporthe oryzae 70-15] (model%: 98, hit%: 89, score: 455, %id: 59)"
"79734","hmg-i/hmg-y, DNA-binding protein [Grosmannia clavigera kw1407] (model%: 48, hit%: 47, score: 1074, %id: 51)"
"79735","26S protease regulatory subunit 8 [Grosmannia clavigera kw1407] (model%: 99, hit%: 100, score: 2019, %id: 98)"
"79736","predicted protein [Nectria haematococca mpVI 77-13-4] (model%: 38, hit%: 28, score: 201, %id: 65)"
"79737","hypothetical protein MYCTH_2311253 [Myceliophthora thermophila ATCC 42464] (model%: 99, hit%: 98, score: 1695, %id: 59)"
"79738","RNA-dependent RNA polymerase [Grosmannia clavigera kw1407] (model%: 98, hit%: 94, score: 2962, %id: 49)"
"79739","r3h domain protein [Grosmannia clavigera kw1407] (model%: 96, hit%: 97, score: 1637, %id: 57)"
"79740","histone h2a [Grosmannia clavigera kw1407] (model%: 98, hit%: 99, score: 700, %id: 96)"
"79741","cell differentiation and development protein fsr1 pro11 [Grosmannia clavigera kw1407] (model%: 99, hit%: 99, score: 2497, %id: 63)"
"79742","DNA repair protein rad14 [Grosmannia clavigera kw1407] (model%: 84, hit%: 94, score: 1160, %id: 61)"
"79743","phosphate transporter [Grosmannia clavigera kw1407] (model%: 99, hit%: 100, score: 837, %id: 81)"
"79744","hypothetical protein NEUTE1DRAFT_146894 [Neurospora tetrasperma FGSC 2508] (model%: 95, hit%: 94, score: 521, %id: 48)"
"79745","histidine acid phosphatase [Grosmannia clavigera kw1407] (model%: 95, hit%: 96, score: 1144, %id: 44)"
"79746","c2h2 finger domain containing protein [Grosmannia clavigera kw1407] (model%: 52, hit%: 69, score: 2549, %id: 61)"
