id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	0.112252851908974	0.880220710779445	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	1.42784195479326	0.00545276970460163	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.750729137091975	0.157132120366499	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	1.88755747034035	0.000116602959177749	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	0.424451675942568	0.482276929673437	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	0.681711087566427	0.156769799723983	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	1.26288953451113	0.0968452510770124	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	-2.32034714115758	4.59245759771533e-08	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	1.05507989273654	0.039646027401589	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	-1.10403665764441	0.0186603339598033	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	-0.906076611834643	0.103455229483907	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	-0.10172862869498	0.858990030157317	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	-0.557283399153347	0.229242806461489	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-5.37831172370254	2.97366901648078e-25	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-5.41588858076579	4.25340228723692e-21	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-3.61228238476515	2.69609678438713e-14	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-3.37611520902094	7.16947292896773e-12	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	-3.98617456155067	5.0120179502479e-17	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	-3.60427658247969	1.7617733802261e-15	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	-3.26452416590804	6.3340956685486e-13	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-3.63126823903131	7.50714050010763e-13	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	-7.39866889530763	8.58296347841789e-11	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	-4.08880261944643	5.22123718932674e-18	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-6.51477077942871	2.7744075073689e-30	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	-3.32956987244917	1.99363693464353e-11	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	-4.72868788353735	6.46677116075155e-14	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	-7.83615512641115	1.11404272892366e-18	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	-3.42933578317801	4.58728867300196e-16	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	-2.9589993739269	9.45573111671082e-11	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	-6.36075050418403	4.00022283978091e-14	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	-8.07722607621593	8.54845122468279e-13	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	-5.07974775303783	1.76121053077306e-17	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	-6.25987497845067	1.36385604389758e-13	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	-10.2604664092349	6.3340956685486e-13	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	-6.80748360423287	1.0340280278539e-28	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-4.50735903875995	3.30045402580768e-13	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	-0.383160812535691	0.469026722883303	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
PP_0040	-2.83959868483936	1.77326244352043e-06	637143412	hypothetical protein	43210	43434	+	NA	NA	NA	NA
PP_0041	-6.57645206839249	9.7902576427805e-21	637143413	cadmium translocating P-type ATPase	43527	45524	-	NA	NA	NA	NA
PP_0042	-7.10969221180464	5.66688624948394e-15	637143414	hypothetical protein	45727	45939	-	NA	NA	NA	NA
PP_0043	-4.79371653698359	3.44553298642415e-21	637143415	cobalt/zinc/cadmium efflux RND transporter, permease protein, CzcA family	46213	49374	-	GO:0051139 - metal ion:proton antiporter activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	NA
PP_0044	-3.45847415216652	3.5682710709087e-06	637143416	cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	49399	50649	-	GO:0005215 - transporter activity [Evidence IEA]	GO:0006810 - transport [Evidence IEA]	NA	NA
PP_0045	-5.33238110829869	0.00142093356580527	637143417	cobalt/zinc/cadmium efflux RND transporter, outer membrane protein, CzcC family	50718	51989	-	NA	NA	NA	NA
PP_0046	-4.90002404649528	2.05016708979404e-21	637143418	porin, putative	52394	53737	+	NA	NA	NA	NA
PP_0047	-5.81053511644725	1.11404272892366e-18	637143419	two component transcriptional regulator, winged helix family	54227	54901	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0048	-8.34396730714025	2.52418282974609e-13	637143420	hypothetical protein	55019	55342	+	NA	NA	NA	NA
PP_0049	-4.27155187782044	1.97439782786613e-22	637143421	hypothetical protein	56161	57627	-	NA	NA	NA	NA
PP_0050	-0.716720254076903	0.229580145670123	637143422	hypothetical protein	58777	59184	-	NA	NA	NA	NA
PP_0051	-1.44377845898733	0.0100324942951122	637143423	sigma54 specific transcriptional regulator, Fis family	59316	60608	-	NA	NA	NA	NA
PP_0052	-2.18295700534177	1.16493194435854e-06	637143424	metallo-beta-lactamase family protein	60831	61715	+	NA	NA	NA	NA
PP_0053	0.109543136344537	0.902863200264537	637143425	hypothetical protein	61756	63024	+	NA	NA	NA	<ul><li>Sulfur metabolism</li></ul>
PP_0054	3.55925184651353	0.0325559496285459	637143426	hypothetical protein	62982	63839	+	NA	NA	NA	NA
PP_0055	0.73203210043598	0.467908078553187	637143427	transcriptional regulator, LysR family	63828	64715	-	NA	NA	NA	NA
PP_0056	-1.97496388309791	7.7023550114855e-05	637143428	oxidoreductase, GMC family	64943	66595	+	NA	NA	NA	NA
PP_0057	-3.71293938460083	3.5749975388166e-09	637143429	major facilitator family transporter	66693	68312	+	NA	NA	NA	NA
PP_0058	-1.72475276546906	0.00247095817323773	637143430	1-acyl-sn-glycerol-3-phosphate acyltransferase, putative	68487	69272	-	NA	NA	NA	<ul><li>Glycerolipid metabolism</li> <li>Glycerophospholipid metabolism</li></ul>
PP_0059	1.07118386100904	0.215570338826043	637143431	D-alpha,beta-D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)	69319	69846	-	GO:0016791 - phosphatase activity [Evidence IEA]	GO:0005975 - carbohydrate metabolic process [Evidence IEA]	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0060	4.1860489964356	2.00783809563782e-12	637143432	glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	69850	71904	-	GO:0004820 - glycine-tRNA ligase activity [Evidence IEA]	GO:0006426 - glycyl-tRNA aminoacylation [Evidence IEA]	GO:0009345 - glycine-tRNA ligase complex [Evidence IEA]	<ul><li>Aminoacyl-tRNA biosynthesis</li></ul>
