id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.321054736816666	0.34392129491046	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-0.759376152400814	0.000916797612886168	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-1.28777334179586	7.69838017674634e-09	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-1.09658845039099	6.02117411573395e-10	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.457144899863953	0.101457368572923	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	0.294946392650713	0.276497135323821	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.401040327831623	0.350676006789935	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	-1.5904282140689	1.51467133925364e-15	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	2.70430483217822	4.14461001671106e-19	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	-0.12042738025025	0.67188630677784	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.528892312505431	0.0687100877681183	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	0.285446208079292	0.204133845779496	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.858649806517184	6.15882539095601e-06	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-1.88973336641083	2.47355615111904e-07	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-1.939879709907	0.00034302586745046	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-1.24740046539807	0.000232997587524497	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-0.924226276505215	0.0015200509428933	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	-0.424833730312471	0.0842370954980261	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	-0.527155233252234	0.0183983282317918	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	-0.112008262382586	0.704332988542713	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-1.18281687617749	3.10253315642024e-05	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	0.10380332261344	0.944370602189273	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	-0.372938524667614	0.191162714233917	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-1.85377483577234	0.0254817024573131	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	0.0383723130243971	0.945143590906064	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	0.257891948918566	0.749350385272692	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	0.212436224512199	0.884968017882428	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	1.8726789111953	2.5625152941364e-22	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	2.64242107472789	1.34197979175652e-33	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	-0.0620262940610509	0.966604420992424	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	-0.739529970375022	0.606998128835864	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	-1.11850662137108	0.130606020717283	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	-2.0391812372497	0.166443841154348	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	-1.69126767832916	0.305762272026352	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	-0.331413790559617	0.71667906466385	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-0.188802052168229	0.876241053899846	637143409	porin P	40469	41758	+	NA	NA	NA	NA
