id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.490819361553944	0.51442491469869	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-0.0763423307948424	0.911385638487851	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.725642445859964	0.154225945488519	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-0.234589773573462	0.596499618110716	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-1.70346454478154	0.000380998749527535	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	0.460211326397095	0.394285418756633	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.190240955823238	0.825006331881075	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	-1.36807076680573	0.00180159217929038	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	3.70062631761136	3.54975147947783e-08	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	-0.250384911695162	0.635310604603296	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.186725400410494	0.75285766482133	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	0.642726476717023	0.16766573936071	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.314769342947547	0.519209879739176	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-3.736334618075	2.93462894204823e-14	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-3.13531315969998	1.74409098692945e-08	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-2.23521171605549	8.67894142383983e-06	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-1.51285490605556	0.00217931452562172	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	-1.87762335387401	2.45628478299558e-06	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	-1.36081711772086	0.000100821105364388	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	-0.347591143073377	0.468877462028525	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-3.0059907251788	3.93082637652776e-12	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	-1.41200732712686	NA	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	-2.77104901960169	2.2648568281683e-13	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-0.780101217106843	0.563197223778302	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	-1.23376371590191	0.090601985287849	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	-0.699916573952704	0.543626438290407	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	-2.22318188362944	0.132685524523866	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	0.711183212597293	0.0806862963367292	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	2.38547584744237	1.56644887888567e-08	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	-1.97954579154044	0.140708608920477	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	-0.684686495824213	NA	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	-1.42242877595562	0.261515285902744	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	0.125113456435458	NA	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	-1.70269168395434	NA	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	-2.77093035901179	0.00211898239758466	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-0.128213506550138	NA	637143409	porin P	40469	41758	+	NA	NA	NA	NA
