id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.387421556672191	0.497373449458029	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-0.532037812215764	0.0946983842382561	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.749721907607138	0.0104298487572179	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-0.690198784472678	0.000199266766377538	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	0.220840616154799	0.647607181390282	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	-0.0415089374135412	0.934505024963985	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.193942978578857	0.767213869750061	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	0.205075910868531	0.497373449458029	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	-1.09992850972437	0.150387125343539	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	0.518178304690146	0.0460967026548956	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.313125179874409	0.477858229377324	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	-0.306545668210408	0.392172745860356	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.0645983522249433	0.876127871406025	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	1.44779747880765	8.20307328533603e-06	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	1.71202702477464	2.39140654540436e-05	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	1.13882663906096	0.000955601967414491	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	0.257198431790411	0.587474460222734	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	1.51024375109104	3.81733776263519e-13	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	0.653156829177081	0.00186063045291615	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	0.356311841872693	0.322007699186575	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	1.16961399906748	1.23129179855365e-05	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	0.582873176137878	NA	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	1.88709051890917	5.97311017530139e-17	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	0.18662541869132	0.891744143182552	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	1.15669286969972	0.0291426740802526	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	0.81283231243806	0.369847432278637	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	1.24791895783127	NA	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	1.12718308449697	5.72431596540662e-10	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	-0.443269157840894	0.355969165164443	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	1.68327327108799	NA	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	0.406105675519358	NA	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	0.0848657254002992	0.953033090587447	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	-0.284833906668264	NA	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	0.259872836901799	NA	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	1.54597593583107	0.0240240590635349	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-0.362718849719624	NA	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	0.548006651489747	0.0127582147612443	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
PP_0040	-0.242385343109645	0.847639363834427	637143412	hypothetical protein	43210	43434	+	NA	NA	NA	NA
PP_0041	0.213056116287756	NA	637143413	cadmium translocating P-type ATPase	43527	45524	-	NA	NA	NA	NA
PP_0042	0.713747702415555	NA	637143414	hypothetical protein	45727	45939	-	NA	NA	NA	NA
PP_0043	-0.27500430668574	NA	637143415	cobalt/zinc/cadmium efflux RND transporter, permease protein, CzcA family	46213	49374	-	GO:0051139 - metal ion:proton antiporter activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	NA
PP_0044	0.187326005937316	NA	637143416	cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	49399	50649	-	GO:0005215 - transporter activity [Evidence IEA]	GO:0006810 - transport [Evidence IEA]	NA	NA
PP_0045	0.597230653854215	NA	637143417	cobalt/zinc/cadmium efflux RND transporter, outer membrane protein, CzcC family	50718	51989	-	NA	NA	NA	NA
PP_0046	-0.0168942455641299	0.987701624930301	637143418	porin, putative	52394	53737	+	NA	NA	NA	NA
PP_0047	0.608973318867065	0.525770969606922	637143419	two component transcriptional regulator, winged helix family	54227	54901	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0048	0.710376609136479	NA	637143420	hypothetical protein	55019	55342	+	NA	NA	NA	NA
PP_0049	1.04889357105538	2.25017642982973e-05	637143421	hypothetical protein	56161	57627	-	NA	NA	NA	NA
PP_0050	-0.656895668868407	0.368372521809208	637143422	hypothetical protein	58777	59184	-	NA	NA	NA	NA
PP_0051	-0.57089153124416	0.321509193797055	637143423	sigma54 specific transcriptional regulator, Fis family	59316	60608	-	NA	NA	NA	NA
PP_0052	0.136614121084848	0.773029027527692	637143424	metallo-beta-lactamase family protein	60831	61715	+	NA	NA	NA	NA
PP_0053	-0.420304966992944	0.564831420628698	637143425	hypothetical protein	61756	63024	+	NA	NA	NA	<ul><li>Sulfur metabolism</li></ul>
PP_0054	-0.175009635033297	0.88320708462318	637143426	hypothetical protein	62982	63839	+	NA	NA	NA	NA
PP_0055	0.0610443121520437	0.947709001781736	637143427	transcriptional regulator, LysR family	63828	64715	-	NA	NA	NA	NA
