id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	0.335305977972182	0.812725836093665	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-0.361800069958425	0.800077670781445	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-1.93362232535262	0.0781605998286855	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-0.537433092753237	0.636053292601322	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.585611583323279	0.69301444193132	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	-0.0533629543392782	0.968497566162782	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.078612658662735	0.975163993366548	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	-1.81577576288695	0.0102629672358836	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	0.110634773191295	0.93455021801577	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	-0.0428724428906594	0.97372590032708	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	-1.78027589202025	0.0631083991640589	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	-2.1264579520181	0.0261086600786518	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	-2.16676135925705	0.00414790370071906	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-1.78390085948164	0.0244768011652142	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-0.976687443477753	0.271707725337211	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-1.62130603717389	0.0621057576981677	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-0.42250409332402	0.691833959875921	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	0.567121056551341	0.622677264498103	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	-1.2326940699194	0.117741588388729	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	-1.33317724974761	0.108794311724932	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-0.831501272462489	0.421700769351068	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	-5.57747797368789	0.000264429412532782	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	0.933263862619011	0.398541658584047	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-6.02447686543082	1.43631730757342e-06	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	-2.26427613878457	0.0165646239082007	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	-1.52388180917274	0.165260891970151	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	-2.06550021584818	0.0246327108360153	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	2.8149543350086	6.78503163110239e-06	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	-2.52509977655435	0.00102751643347409	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	-3.36840346667422	0.00301185103942306	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	-0.0971135086366929	0.938792943939866	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	-3.60162688385881	0.000611604250098766	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	-3.60967874636347	0.00340849088197661	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	-3.31050622371328	0.000401588257985123	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	0.766417266599714	0.429244359582963	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-2.99272510923317	0.00560238584900485	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	-2.47044525657733	0.00326959821180382	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
PP_0040	-2.96468086766744	0.0138766083486629	637143412	hypothetical protein	43210	43434	+	NA	NA	NA	NA
PP_0041	-4.52291618893747	7.07618503726552e-05	637143413	cadmium translocating P-type ATPase	43527	45524	-	NA	NA	NA	NA
