id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.77187987532492	0.174955167942086	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-1.38136130694366	0.00402269050168259	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.368101021350485	0.461889836326571	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-1.91586219719206	6.68984265117986e-05	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.56538273199991	0.298983835330066	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	-0.469700665837305	0.332429759946814	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.943255494765158	0.220673271950697	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	1.83886314731991	1.41979544011366e-06	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	2.32498319025123	0.00119546525958393	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	0.551567020013833	0.230560320513003	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.681953981302791	0.217496394569575	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	-0.0688228898049593	0.902037378293128	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.750280699881953	0.0697593700227638	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	3.54224748124222	2.28852414744828e-08	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	3.61660843472722	6.26390614766309e-10	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	3.43225483763621	4.80248919417477e-12	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	3.18226878670329	4.6160612595703e-10	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	2.86344208949295	1.79641477542987e-06	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	2.24086961155459	7.04180236287317e-07	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	2.53399876927669	1.09275612633485e-07	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	2.07575355868896	0.00035030609831904	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	5.75040702166108	9.03370064592178e-09	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	1.83594983759766	0.000424966915643982	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	6.30971923716297	1.21089658912171e-19	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	3.95246527737581	3.4089089244264e-11	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	3.49605775061179	1.78823625293e-06	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	5.79058732570452	6.18306782521866e-15	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	1.73237379154775	0.000123423783916649	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	2.95250735449208	4.03479414196961e-11	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	6.97175610402438	1.87490294455688e-09	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	7.08960921287107	3.7661835318141e-11	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	3.86791160953483	2.44983612436972e-10	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	6.23545506132636	8.54655804150727e-09	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	8.05029633534424	3.33999562062831e-12	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	5.79842980156889	3.90294774132615e-19	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	4.64364555650104	2.14407061175087e-10	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	0.584452583307901	0.271148937201354	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
