id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.790867855571679	0.0644671706283697	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	-1.08060058484283	0.00021726977148466	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.406509374163991	0.199120113063174	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-2.54714487053743	4.68981583703739e-33	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.7586471231379	0.0279372995724439	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	-0.856974979878523	0.00257930183785881	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-3.48980528449983	9.58097479087015e-07	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	1.57061196782305	1.29270251464788e-08	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	0.57944124929973	0.288036376853897	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	1.20193148349867	1.36836568719973e-07	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.679298064502447	0.0227504652637007	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	-0.276858856246605	0.321033331269084	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.650023294074407	0.00887128034032927	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	3.10537997544024	2.05909008928855e-07	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	3.57484000943841	3.98383889454315e-11	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	3.32859620398577	8.56897052471979e-27	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	3.35535744578538	4.82218720394327e-36	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	3.11034471774092	8.57680055084633e-38	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	2.21285463673172	7.44695235802173e-21	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	2.60489760228331	1.75292793298987e-23	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	2.2158857857841	4.76367792887022e-18	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	5.48806879777052	1.78415650553654e-10	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	2.91382249865104	1.51685834573094e-18	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	4.75112910193779	1.20004397492375e-11	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	3.23098751933101	1.32988366744052e-17	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	3.98767967702341	1.0474970648207e-14	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	6.10689257643077	7.25159593285048e-12	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	2.92793338457231	1.62739760803764e-13	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	2.35189937602992	1.04491107365124e-18	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	4.44991547012123	0.00344149605406462	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	6.663860428295	3.77533814378032e-23	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	3.06847057369529	2.20493150241413e-06	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	4.81873232298044	3.19069245842203e-06	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	5.948751478786	1.75181994337612e-06	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	5.00677605325862	3.49691442714229e-13	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	3.80452203771735	9.9993735349599e-05	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	1.29197166376129	3.09110969113963e-09	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
PP_0040	2.66242983808376	2.30727462489079e-06	637143412	hypothetical protein	43210	43434	+	NA	NA	NA	NA
PP_0041	5.0270646175363	6.34533688405787e-10	637143413	cadmium translocating P-type ATPase	43527	45524	-	NA	NA	NA	NA
PP_0042	5.28301384070494	4.05826248221811e-23	637143414	hypothetical protein	45727	45939	-	NA	NA	NA	NA
PP_0043	4.23022199517474	3.41088289291552e-09	637143415	cobalt/zinc/cadmium efflux RND transporter, permease protein, CzcA family	46213	49374	-	GO:0051139 - metal ion:proton antiporter activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	NA
PP_0044	2.3912560523862	0.0341722140913586	637143416	cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	49399	50649	-	GO:0005215 - transporter activity [Evidence IEA]	GO:0006810 - transport [Evidence IEA]	NA	NA
PP_0045	4.81610013552973	9.37028473521479e-12	637143417	cobalt/zinc/cadmium efflux RND transporter, outer membrane protein, CzcC family	50718	51989	-	NA	NA	NA	NA
PP_0046	3.84453975113898	1.26258103502187e-33	637143418	porin, putative	52394	53737	+	NA	NA	NA	NA
PP_0047	3.94075330124466	6.67145052853505e-15	637143419	two component transcriptional regulator, winged helix family	54227	54901	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
