id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	-0.0123149963017965	0.995493899285679	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	0.596800791074393	0.741970789548038	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	0.267029385629741	0.887523502586065	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-0.126829469781216	0.947494153444978	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.0727675975150034	0.975880516366847	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	-0.0996419076179616	0.958693325496792	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.659443543699311	NA	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	0.151722867985814	0.924459340878615	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	-0.832744642832942	0.583484504120732	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	0.306144253966817	0.852994362538468	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.123707011129571	0.943650818299299	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	0.00931809400875515	0.996218404353115	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	0.109173683361362	0.942823031087643	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-0.812805761608477	0.653529524703594	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-0.774811707176421	0.647319373473358	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	-0.398406801439274	0.823873289427545	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	0.202721081344607	0.911772775513038	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	0.185749382993125	0.914164550492545	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	0.24696123663352	0.887452888407507	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	0.195165546436816	0.907315961997496	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-0.170303228044909	0.922297642614647	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0022	-0.615459754360126	0.760985377094859	637143394	hypothetical protein	26989	27390	-	NA	NA	NA	NA
PP_0023	0.330681638788065	0.859707848594293	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-0.675343100666597	0.760985377094859	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	-0.288953801051227	0.867373526254392	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	-0.432891553217573	0.823567000639584	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0028	-0.714737053434354	0.741970789548038	637143400	hypothetical protein	31877	32203	-	NA	NA	NA	NA
PP_0029	0.776987447351308	0.562671682357726	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	-0.16587362106508	0.916386740780172	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
PP_0031	-0.50553282458992	0.832208262094658	637143403	hypothetical protein	35040	35627	-	NA	NA	NA	NA
PP_0032	0.137864577379947	0.937428916763271	637143404	hypothetical protein	35894	36115	+	NA	NA	NA	NA
PP_0033	-0.829006912519173	0.588252601881815	637143405	sugar transferase, putative	36198	37652	-	NA	NA	GO:0016020 - membrane [Evidence IEA]	NA
PP_0034	-0.337776528892749	0.887523502586065	637143406	glycosyl transferase, group 2 family protein	37646	38629	-	NA	NA	NA	NA
PP_0035	-0.319234843552396	0.882256662875962	637143407	GtrA family protein	38595	39014	-	NA	NA	NA	NA
PP_0036	-0.880237023644419	0.548644142127555	637143408	transcriptional regulator, LysR family	39272	40240	+	NA	NA	NA	NA
PP_0037	-0.850804948725628	0.650438564996783	637143409	porin P	40469	41758	+	NA	NA	NA	NA
PP_0039	0.734777749424593	0.454103526685947	637143411	hypothetical protein	42057	43082	+	NA	NA	NA	NA
PP_0040	-0.355630034096989	0.85861078298331	637143412	hypothetical protein	43210	43434	+	NA	NA	NA	NA
PP_0041	-0.631997901371207	0.788241693368195	637143413	cadmium translocating P-type ATPase	43527	45524	-	NA	NA	NA	NA
PP_0042	0.202088456745544	0.914164550492545	637143414	hypothetical protein	45727	45939	-	NA	NA	NA	NA
PP_0043	-0.669945799858413	0.741970789548038	637143415	cobalt/zinc/cadmium efflux RND transporter, permease protein, CzcA family	46213	49374	-	GO:0051139 - metal ion:proton antiporter activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	NA
PP_0044	-0.889869707853167	0.650845714649759	637143416	cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	49399	50649	-	GO:0005215 - transporter activity [Evidence IEA]	GO:0006810 - transport [Evidence IEA]	NA	NA
PP_0045	-0.455539809804682	0.832208262094658	637143417	cobalt/zinc/cadmium efflux RND transporter, outer membrane protein, CzcC family	50718	51989	-	NA	NA	NA	NA
PP_0046	-0.265098105211108	0.885250582015597	637143418	porin, putative	52394	53737	+	NA	NA	NA	NA
PP_0047	-0.503948714103715	0.791560232260255	637143419	two component transcriptional regulator, winged helix family	54227	54901	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0048	-0.735648590332102	0.739408931091424	637143420	hypothetical protein	55019	55342	+	NA	NA	NA	NA
PP_0049	-0.851458006687754	0.178672362480725	637143421	hypothetical protein	56161	57627	-	NA	NA	NA	NA
PP_0050	-0.428207026342298	0.850253638066473	637143422	hypothetical protein	58777	59184	-	NA	NA	NA	NA
PP_0051	0.408127358081392	0.832208262094658	637143423	sigma54 specific transcriptional regulator, Fis family	59316	60608	-	NA	NA	NA	NA
PP_0052	0.222973202219329	0.888047182975442	637143424	metallo-beta-lactamase family protein	60831	61715	+	NA	NA	NA	NA
